time,x_ref,y_ref,yaw_ref,x,y,yaw,v,w,x_next,y_next,yaw_next
0.85,2.9733,0.399364,97.65,2.97482,0.394802,97.6498,0.471386,0.156319,2.9742,0.399474,97.7393
0.86,2.97267,0.404034,97.74,2.9742,0.399474,97.7393,0.471385,0.156326,2.97356,0.404145,97.8289
0.87,2.97203,0.408703,97.83,2.97356,0.404145,97.8289,0.471384,0.156334,2.97292,0.408815,97.9185
0.88,2.97138,0.413371,97.92,2.97292,0.408815,97.9185,0.471384,0.156341,2.97227,0.413484,98.008
0.89,2.97073,0.418038,98.01,2.97227,0.413484,98.008,0.471383,0.156348,2.97161,0.418152,98.0976
0.9,2.97007,0.422704,98.1,2.97161,0.418152,98.0976,0.471383,0.156355,2.97095,0.422818,98.1872
0.91,2.9694,0.427369,98.19,2.97095,0.422818,98.1872,0.471382,0.156362,2.97028,0.427484,98.2768
0.92,2.96873,0.432032,98.28,2.97028,0.427484,98.2768,0.471381,0.156369,2.9696,0.432149,98.3664
0.93,2.96805,0.436695,98.37,2.9696,0.432149,98.3664,0.471381,0.156376,2.96891,0.436813,98.456
0.94,2.96736,0.441357,98.46,2.96891,0.436813,98.456,0.47138,0.156383,2.96822,0.441475,98.5456
0.95,2.96666,0.446017,98.55,2.96822,0.441475,98.5456,0.47138,0.15639,2.96752,0.446137,98.6352
0.96,2.96596,0.450677,98.64,2.96752,0.446137,98.6352,0.471379,0.156396,2.96681,0.450797,98.7248
0.97,2.96524,0.455335,98.73,2.96681,0.450797,98.7248,0.471379,0.156403,2.9661,0.455456,98.8144
0.98,2.96452,0.459992,98.82,2.9661,0.455456,98.8144,0.471378,0.15641,2.96537,0.460114,98.904
0.99,2.9638,0.464648,98.91,2.96537,0.460114,98.904,0.471377,0.156416,2.96465,0.464771,98.9936
1,2.96307,0.469303,99,2.96465,0.464771,98.9936,0.471377,0.156423,2.96391,0.469427,99.0833
1.01,2.96232,0.473957,99.09,2.96391,0.469427,99.0833,0.471376,0.156429,2.96316,0.474082,99.1729
1.02,2.96158,0.47861,99.18,2.96316,0.474082,99.1729,0.471376,0.156435,2.96241,0.478735,99.2625
1.03,2.96082,0.483261,99.27,2.96241,0.478735,99.2625,0.471375,0.156441,2.96165,0.483388,99.3522
1.04,2.96006,0.487911,99.36,2.96165,0.483388,99.3522,0.471375,0.156448,2.96089,0.488039,99.4418
1.05,2.95929,0.492561,99.45,2.96089,0.488039,99.4418,0.471374,0.156454,2.96011,0.492688,99.5314
1.06,2.95851,0.497208,99.54,2.96011,0.492688,99.5314,0.471374,0.15646,2.95933,0.497337,99.6211
1.07,2.95773,0.501855,99.63,2.95933,0.497337,99.6211,0.471373,0.156466,2.95855,0.501985,99.7107
1.08,2.95693,0.5065,99.72,2.95855,0.501985,99.7107,0.471373,0.156472,2.95775,0.506631,99.8004
1.09,2.95613,0.511144,99.81,2.95775,0.506631,99.8004,0.471372,0.156478,2.95695,0.511276,99.89
1.1,2.95533,0.515787,99.9,2.95695,0.511276,99.89,0.471372,0.156484,2.95614,0.515919,99.9797
1.11,2.95451,0.520429,99.99,2.95614,0.515919,99.9797,0.471371,0.156489,2.95532,0.520562,100.069
1.12,2.95369,0.525069,100.08,2.95532,0.520562,100.069,0.471371,0.156495,2.9545,0.525203,100.159
1.13,2.95286,0.529708,100.17,2.9545,0.525203,100.159,0.47137,0.156501,2.95367,0.529843,100.249
1.14,2.95203,0.534346,100.26,2.95367,0.529843,100.249,0.47137,0.156506,2.95283,0.534481,100.338
1.15,2.95119,0.538982,100.35,2.95283,0.534481,100.338,0.471369,0.156512,2.95198,0.539118,100.428
1.16,2.95034,0.543617,100.44,2.95198,0.539118,100.428,0.471369,0.156518,2.95113,0.543754,100.518
1.17,2.94948,0.548251,100.53,2.95113,0.543754,100.518,0.471368,0.156523,2.95027,0.548389,100.607
1.18,2.94861,0.552883,100.62,2.95027,0.548389,100.607,0.471368,0.156528,2.9494,0.553022,100.697
1.19,2.94774,0.557514,100.71,2.9494,0.553022,100.697,0.471368,0.156534,2.94853,0.557654,100.787
1.2,2.94686,0.562144,100.8,2.94853,0.557654,100.787,0.471367,0.156539,2.94764,0.562284,100.876
1.21,2.94598,0.566772,100.89,2.94764,0.562284,100.876,0.471367,0.156544,2.94675,0.566913,100.966
1.22,2.94508,0.571399,100.98,2.94675,0.566913,100.966,0.471366,0.156549,2.94586,0.571541,101.056
1.23,2.94418,0.576024,101.07,2.94586,0.571541,101.056,0.471366,0.156555,2.94495,0.576167,101.146
1.24,2.94327,0.580648,101.16,2.94495,0.576167,101.146,0.471365,0.15656,2.94404,0.580791,101.235
1.25,2.94236,0.585271,101.25,2.94404,0.580791,101.235,0.471365,0.156565,2.94312,0.585415,101.325
1.26,2.94143,0.589892,101.34,2.94312,0.585415,101.325,0.471365,0.15657,2.9422,0.590037,101.415
1.27,2.9405,0.594512,101.43,2.9422,0.590037,101.415,0.471364,0.156575,2.94127,0.594657,101.504
1.28,2.93957,0.59913,101.52,2.94127,0.594657,101.504,0.471364,0.15658,2.94033,0.599276,101.594
1.29,2.93862,0.603747,101.61,2.94033,0.599276,101.594,0.471363,0.156584,2.93938,0.603893,101.684
1.3,2.93767,0.608362,101.7,2.93938,0.603893,101.684,0.471363,0.156589,2.93842,0.608509,101.774
1.31,2.93671,0.612976,101.79,2.93842,0.608509,101.774,0.471363,0.156594,2.93746,0.613124,101.863
1.32,2.93574,0.617588,101.88,2.93746,0.613124,101.863,0.471362,0.156599,2.93649,0.617737,101.953
1.33,2.93477,0.622199,101.97,2.93649,0.617737,101.953,0.471362,0.156603,2.93552,0.622348,102.043
1.34,2.93379,0.626808,102.06,2.93552,0.622348,102.043,0.471361,0.156608,2.93453,0.626958,102.132
1.35,2.9328,0.631415,102.15,2.93453,0.626958,102.132,0.471361,0.156613,2.93354,0.631566,102.222
1.36,2.9318,0.636021,102.24,2.93354,0.631566,102.222,0.471361,0.156617,2.93254,0.636173,102.312
1.37,2.9308,0.640626,102.33,2.93254,0.636173,102.312,0.47136,0.156622,2.93154,0.640778,102.402
1.38,2.92979,0.645229,102.42,2.93154,0.640778,102.402,0.47136,0.156626,2.93053,0.645382,102.491
1.39,2.92877,0.64983,102.51,2.93053,0.645382,102.491,0.471359,0.156631,2.92951,0.649984,102.581
1.4,2.92775,0.65443,102.6,2.92951,0.649984,102.581,0.471359,0.156635,2.92848,0.654584,102.671
1.41,2.92672,0.659028,102.69,2.92848,0.654584,102.671,0.471359,0.156639,2.92745,0.659183,102.761
1.42,2.92568,0.663624,102.78,2.92745,0.659183,102.761,0.471358,0.156643,2.92641,0.66378,102.85
1.43,2.92463,0.668219,102.87,2.92641,0.66378,102.85,0.471358,0.156648,2.92536,0.668376,102.94
1.44,2.92358,0.672812,102.96,2.92536,0.668376,102.94,0.471358,0.156652,2.9243,0.67297,103.03
1.45,2.92252,0.677404,103.05,2.9243,0.67297,103.03,0.471357,0.156656,2.92324,0.677562,103.12
1.46,2.92145,0.681994,103.14,2.92324,0.677562,103.12,0.471357,0.15666,2.92217,0.682153,103.209
1.47,2.92038,0.686582,103.23,2.92217,0.682153,103.209,0.471357,0.156664,2.92109,0.686741,103.299
1.48,2.9193,0.691168,103.32,2.92109,0.686741,103.299,0.471356,0.156668,2.92001,0.691329,103.389
1.49,2.91821,0.695753,103.41,2.92001,0.691329,103.389,0.471356,0.156672,2.91892,0.695914,103.479
1.5,2.91711,0.700336,103.5,2.91892,0.695914,103.479,0.471356,0.156676,2.91782,0.700498,103.568
1.51,2.91601,0.704917,103.59,2.91782,0.700498,103.568,0.471355,0.15668,2.91671,0.70508,103.658
1.52,2.9149,0.709497,103.68,2.91671,0.70508,103.658,0.471355,0.156684,2.9156,0.70966,103.748
1.53,2.91378,0.714075,103.77,2.9156,0.70966,103.748,0.471355,0.156688,2.91448,0.714238,103.838
1.54,2.91265,0.718651,103.86,2.91448,0.714238,103.838,0.471354,0.156692,2.91335,0.718815,103.928
1.55,2.91152,0.723225,103.95,2.91335,0.718815,103.928,0.471354,0.156695,2.91222,0.72339,104.017
1.56,2.91038,0.727798,104.04,2.91222,0.72339,104.017,0.471354,0.156699,2.91108,0.727963,104.107
1.57,2.90923,0.732368,104.13,2.91108,0.727963,104.107,0.471353,0.156703,2.90993,0.732535,104.197
