time,x,y,yaw,v,w,left_rpm,right_rpm,ref_x,ref_y,ref_yaw,ref_v,ref_w,ref_left_rpm,ref_right_rpm
0.59,2.62573,0.350078,54.8221,0.364462,0.285714,6.28924,8.28924,2.98713,0.277633,95.31,0.471239,0.15708,8.875,9.97456
0.6,2.62786,0.353106,54.9858,0.370454,0.285714,6.40908,8.40908,2.98669,0.282325,95.4,0.471239,0.15708,8.875,9.97456
0.61,2.62999,0.35614,55.1495,0.370454,0.285714,6.40908,8.40908,2.98624,0.287016,95.49,0.471239,0.15708,8.875,9.97456
0.62,2.63211,0.35918,55.3132,0.370454,0.285714,6.40908,8.40908,2.98578,0.291706,95.58,0.471239,0.15708,8.875,9.97456
0.63,2.63422,0.362226,55.4769,0.370454,0.285714,6.40908,8.40908,2.98532,0.296396,95.67,0.471239,0.15708,8.875,9.97456
0.64,2.63631,0.365278,55.6406,0.370454,0.285714,6.40908,8.40908,2.98485,0.301085,95.76,0.471239,0.15708,8.875,9.97456
0.65,2.63844,0.368384,55.8043,0.376264,0.285714,6.52527,8.52527,2.98438,0.305773,95.85,0.471239,0.15708,8.875,9.97456
0.66,2.64055,0.371497,55.968,0.376264,0.285714,6.52527,8.52527,2.98389,0.310461,95.94,0.471239,0.15708,8.875,9.97456
0.67,2.64266,0.374615,56.1318,0.376264,0.285714,6.52527,8.52527,2.9834,0.315148,96.03,0.471239,0.15708,8.875,9.97456
0.68,2.64476,0.377739,56.2955,0.376264,0.285714,6.52527,8.52527,2.9829,0.319833,96.12,0.471239,0.15708,8.875,9.97456
0.69,2.64684,0.380869,56.4592,0.376264,0.285714,6.52527,8.52527,2.9824,0.324519,96.21,0.471239,0.15708,8.875,9.97456
0.7,2.64895,0.384052,56.6229,0.381896,0.285714,6.63791,8.63791,2.98188,0.329203,96.3,0.471239,0.15708,8.875,9.97456
0.71,2.65105,0.387241,56.7866,0.381896,0.285714,6.63791,8.63791,2.98136,0.333886,96.39,0.471239,0.15708,8.875,9.97456
0.72,2.65315,0.390436,56.9503,0.381896,0.285714,6.63791,8.63791,2.98083,0.338569,96.48,0.471239,0.15708,8.875,9.97456
0.73,2.65523,0.393637,57.114,0.381896,0.285714,6.63791,8.63791,2.9803,0.343251,96.57,0.471239,0.15708,8.875,9.97456
0.74,2.6573,0.396844,57.2777,0.381896,0.285714,6.63791,8.63791,2.97976,0.347932,96.66,0.471239,0.15708,8.875,9.97456
0.75,2.6594,0.400103,57.4414,0.387355,0.285714,6.7471,8.7471,2.97921,0.352612,96.75,0.471239,0.15708,8.875,9.97456
0.76,2.66148,0.403368,57.6051,0.387355,0.285714,6.7471,8.7471,2.97865,0.357291,96.84,0.471239,0.15708,8.875,9.97456
0.77,2.66356,0.406639,57.7688,0.387355,0.285714,6.7471,8.7471,2.97808,0.36197,96.93,0.471239,0.15708,8.875,9.97456
0.78,2.66562,0.409915,57.9325,0.387355,0.285714,6.7471,8.7471,2.97751,0.366647,97.02,0.471239,0.15708,8.875,9.97456
0.79,2.66768,0.413198,58.0962,0.387355,0.285714,6.7471,8.7471,2.97693,0.371324,97.11,0.471239,0.15708,8.875,9.97456
0.8,2.66975,0.416531,58.2599,0.392647,0.285714,6.85294,8.85294,2.97634,0.376,97.2,0.471239,0.15708,8.875,9.97456
0.81,2.67182,0.419871,58.4236,0.392647,0.285714,6.85294,8.85294,2.97575,0.380674,97.29,0.471239,0.15708,8.875,9.97456
0.82,2.67388,0.423216,58.5873,0.392647,0.285714,6.85294,8.85294,2.97515,0.385348,97.38,0.471239,0.15708,8.875,9.97456
0.83,2.67592,0.426567,58.751,0.392647,0.285714,6.85294,8.85294,2.97454,0.390021,97.47,0.471239,0.15708,8.875,9.97456
0.84,2.67796,0.429923,58.9147,0.392647,0.285714,6.85294,8.85294,2.97392,0.394693,97.56,0.471239,0.15708,8.875,9.97456
0.85,2.68001,0.43333,59.0784,0.397776,0.285714,6.95551,8.95551,2.9733,0.399364,97.65,0.471239,0.15708,8.875,9.97456
